CustomerID,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore
15619,10,1,336.4,1,4,3,143
17389,0,43,31300.08,1,1,1,111
12940,46,4,876.29,2,2,2,222
13623,30,7,672.44,2,1,2,212
14450,180,3,483.25,4,3,3,433
15727,16,7,5178.96,1,1,1,111
15790,10,1,220.85,1,4,4,144
13285,23,4,2709.12,2,2,1,221
14570,280,2,218.06,4,3,4,434
16574,71,1,451.44,3,4,3,343
13832,17,2,40.95,2,3,4,234
16503,106,5,1421.43,3,2,2,322
15957,31,1,428.89,2,4,3,243
17679,52,2,1992.11,3,3,1,331
17420,50,3,598.83,2,3,3,233
15447,330,1,155.17,4,4,4,444
16386,28,2,317.2,2,3,3,233
18024,152,3,236.78,4,3,4,434
16861,59,3,151.65,3,3,4,334
16339,284,1,109.95,4,4,4,444
14465,246,3,1058.62,4,3,2,432
15967,23,2,418.83,2,3,3,233
14423,218,1,265.2,4,4,4,444
17172,74,2,313.26,3,3,3,333
18161,10,6,1612.79,1,1,1,111
15100,330,6,635.1,4,1,3,413
12471,2,49,18740.92,1,1,1,111
14536,259,1,171.8,4,4,4,444
12626,23,13,6388.35,2,1,1,211
18218,206,4,626.38,4,2,3,423
16500,4,6,400.86,1,1,3,113
18282,7,3,176.6,1,3,4,134
13261,268,2,944.1,4,3,2,432
14148,233,1,157.2,4,4,4,444
14075,4,3,942.26,1,3,2,132
14514,61,3,1055.35,3,3,2,332
16916,23,2,576.26,2,3,3,233
15004,147,1,1246.32,4,4,2,442
15254,127,1,300.36,3,4,3,343
12715,106,1,353.86,3,4,3,343
12367,4,1,168.9,1,4,4,144
12611,52,1,1193.32,3,4,2,342
15738,18,19,4788.77,2,1,1,211
14377,191,2,617.05,4,3,3,433
17837,42,10,1560.53,2,1,2,212
17809,16,15,4627.62,1,1,1,111
13601,45,2,693.32,2,3,2,232
16283,5,7,1531.51,1,1,2,112
14289,8,6,911.26,1,1,2,112
16791,29,8,1706.28,2,1,1,211
15655,233,2,511.32,4,3,3,433
15296,44,10,3610.31,2,1,1,211
17754,0,6,1739.92,1,1,1,111
18221,22,6,1033.31,2,1,2,212
12393,72,4,1582.6,3,2,2,322
13875,53,5,1786.79,3,2,1,321
16924,21,4,739.5,2,2,2,222
14420,85,2,385.87,3,3,3,333
14997,46,4,540.98,2,2,3,223
14837,89,5,1641.2,3,2,1,321
13060,253,1,307.53,4,4,3,443
14714,24,1,160.19,2,4,4,244
17775,254,1,56.4,4,4,4,444
17708,187,2,267.08,4,3,4,434
17783,72,2,283.47,3,3,4,334
13483,65,1,140.34,3,4,4,344
13207,15,2,250.26,1,3,4,134
17044,8,3,897.43,1,3,2,132
16680,43,1,183.7,2,4,4,244
16224,57,4,1295.3,3,2,2,322
17223,310,2,426.79,4,3,3,433
15382,14,8,5927.86,1,1,1,111
13898,325,1,155.93,4,4,4,444
17193,35,9,1674.46,2,1,1,211
15604,52,1,216.39,3,4,4,344
14315,21,7,2456.98,2,1,1,211
16828,93,2,128.5,3,3,4,334
13188,11,1,114.6,1,4,4,144
14958,147,3,499.68,4,3,3,433
18043,24,3,559.51,2,3,3,233
